Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
A-000,A-000,Port A,1,3.17e+05,-73,9.22e+04,5.25e-10
A-001,A-001,Port A,1,3.03e+05,-76,7.46e+04,5.42e-10
A-002,A-002,Port A,1,3.77e+05,-74,1.04e+05,4.40e-10
A-003,A-003,Port A,1,3.06e+05,-76,7.65e+04,5.37e-10
A-004,A-004,Port A,1,3.63e+05,-72,1.15e+05,4.62e-10
A-005,A-005,Port A,1,3.17e+05,-73,9.20e+04,5.24e-10
A-006,A-006,Port A,1,2.42e+05,-71,7.97e+04,6.98e-10
A-007,A-007,Port A,1,3.78e+05,-70,1.29e+05,4.48e-10
A-008,A-008,Port A,1,9.56e+05,-89,1.15e+04,1.66e-10
A-009,A-009,Port A,1,4.11e+05,-66,1.68e+05,4.24e-10
A-010,A-010,Port A,1,3.59e+05,-71,1.16e+05,4.69e-10
A-011,A-011,Port A,1,4.17e+05,-71,1.38e+05,4.04e-10
A-012,A-012,Port A,1,2.99e+05,-70,1.04e+05,5.68e-10
A-013,A-013,Port A,1,3.12e+05,-68,1.16e+05,5.49e-10
A-014,A-014,Port A,1,2.82e+05,-68,1.06e+05,6.08e-10
A-015,A-015,Port A,1,3.14e+05,-68,1.17e+05,5.46e-10
A-016,A-016,Port A,1,3.68e+05,-77,8.25e+04,4.43e-10
A-017,A-017,Port A,1,3.71e+05,-76,9.09e+04,4.42e-10
A-018,A-018,Port A,1,4.52e+05,-75,1.16e+05,3.64e-10
A-019,A-019,Port A,1,3.88e+05,-76,9.64e+04,4.23e-10
A-020,A-020,Port A,1,4.11e+05,-71,1.35e+05,4.10e-10
A-021,A-021,Port A,1,3.83e+05,-74,1.07e+05,4.33e-10
A-022,A-022,Port A,1,3.93e+05,-74,1.10e+05,4.22e-10
A-023,A-023,Port A,1,4.09e+05,-73,1.21e+05,4.08e-10
A-024,A-024,Port A,1,3.92e+05,-71,1.28e+05,4.30e-10
A-025,A-025,Port A,1,4.91e+05,-66,1.99e+05,3.55e-10
A-026,A-026,Port A,1,3.73e+05,-69,1.31e+05,4.56e-10
A-027,A-027,Port A,1,4.70e+05,-69,1.65e+05,3.62e-10
A-028,A-028,Port A,1,3.22e+05,-69,1.17e+05,5.31e-10
A-029,A-029,Port A,1,4.26e+05,-70,1.48e+05,3.98e-10
A-030,A-030,Port A,1,2.91e+05,-66,1.19e+05,5.99e-10
A-031,A-031,Port A,1,3.70e+05,-69,1.31e+05,4.60e-10
